03-22-2019 15:56:36.321,4870,SENT,2B2B2B
03-22-2019 15:56:36.354,4871,RECV,4F4B0D
03-22-2019 15:56:37.822,4872,SENT,415444420D
03-22-2019 15:56:37.864,4873,RECV,35360D
03-22-2019 15:56:39.322,4874,SENT,2B2B2B
03-22-2019 15:56:39.373,4875,RECV,4F4B0D
03-22-2019 15:56:40.823,4876,SENT,415444420D
03-22-2019 15:56:40.830,4877,RECV,35
03-22-2019 15:56:40.880,4878,RECV,360D
03-22-2019 15:56:42.323,4879,SENT,2B2B2B
03-22-2019 15:56:42.340,4880,RECV,4F4B0D
03-22-2019 15:56:43.825,4881,SENT,415444420D
03-22-2019 15:56:43.851,4882,RECV,35360D
03-22-2019 15:56:45.325,4883,SENT,2B2B2B
03-22-2019 15:56:45.361,4884,RECV,4F4B0D
03-22-2019 15:56:46.826,4885,SENT,415444420D
03-22-2019 15:56:46.869,4886,RECV,35360D
03-22-2019 15:56:48.327,4887,SENT,2B2B2B
03-22-2019 15:56:48.377,4888,RECV,4F4B0D
03-22-2019 15:56:49.828,4889,SENT,415444420D
03-22-2019 15:56:49.884,4890,RECV,35360D
03-22-2019 15:56:51.328,4891,SENT,2B2B2B
03-22-2019 15:56:51.339,4892,RECV,4F4B0D
03-22-2019 15:56:52.830,4893,SENT,415444420D
03-22-2019 15:56:52.847,4894,RECV,35360D
03-22-2019 15:56:54.329,4895,SENT,2B2B2B
03-22-2019 15:56:54.356,4896,RECV,4F4B0D
03-22-2019 15:56:55.831,4897,SENT,415444420D
03-22-2019 15:56:55.864,4898,RECV,35360D
03-22-2019 15:56:57.332,4899,SENT,2B2B2B
03-22-2019 15:56:57.374,4900,RECV,4F4B0D
03-22-2019 15:56:58.834,4901,SENT,415444420D
03-22-2019 15:56:58.881,4902,RECV,35360D
03-22-2019 15:57:00.334,4903,SENT,2B2B2B
03-22-2019 15:57:00.339,4904,RECV,4F
03-22-2019 15:57:00.531,4905,RECV,4B0D
03-22-2019 15:57:01.835,4906,SENT,415444420D
03-22-2019 15:57:01.849,4907,RECV,35360D
03-22-2019 15:57:03.335,4908,SENT,2B2B2B
03-22-2019 15:57:03.356,4909,RECV,4F4B0D
03-22-2019 15:57:04.836,4910,SENT,415444420D
03-22-2019 15:57:04.863,4911,RECV,35360D
03-22-2019 15:57:06.337,4912,SENT,2B2B2B
03-22-2019 15:57:06.371,4913,RECV,4F4B0D
03-22-2019 15:57:07.838,4914,SENT,415444420D
03-22-2019 15:57:07.881,4915,RECV,35360D
03-22-2019 15:57:09.338,4916,SENT,2B2B2B
03-22-2019 15:57:09.388,4917,RECV,4F4B0D
03-22-2019 15:57:10.840,4918,SENT,415444420D
03-22-2019 15:57:10.896,4919,RECV,35360D
03-22-2019 15:57:12.340,4920,SENT,2B2B2B
03-22-2019 15:57:12.353,4921,RECV,4F4B0D
03-22-2019 15:57:13.841,4922,SENT,415444420D
03-22-2019 15:57:13.859,4923,RECV,35360D
03-22-2019 15:57:15.341,4924,SENT,2B2B2B
03-22-2019 15:57:15.367,4925,RECV,4F4B0D
03-22-2019 15:57:16.843,4926,SENT,415444420D
03-22-2019 15:57:16.874,4927,RECV,35410D
03-22-2019 15:57:18.343,4928,SENT,2B2B2B
03-22-2019 15:57:18.381,4929,RECV,4F4B0D
03-22-2019 15:57:19.845,4930,SENT,415444420D
03-22-2019 15:57:19.889,4931,RECV,35410D
03-22-2019 15:57:21.345,4932,SENT,2B2B2B
03-22-2019 15:57:21.398,4933,RECV,4F4B0D
03-22-2019 15:57:22.847,4934,SENT,415444420D
03-22-2019 15:57:22.854,4935,RECV,3541
03-22-2019 15:57:22.904,4936,RECV,0D
03-22-2019 15:57:24.347,4937,SENT,2B2B2B
03-22-2019 15:57:24.363,4938,RECV,4F4B0D
03-22-2019 15:57:25.847,4939,SENT,415444420D
03-22-2019 15:57:25.871,4940,RECV,35410D
03-22-2019 15:57:27.348,4941,SENT,2B2B2B
03-22-2019 15:57:27.382,4942,RECV,4F4B0D
03-22-2019 15:57:28.849,4943,SENT,415444420D
03-22-2019 15:57:28.889,4944,RECV,35410D
03-22-2019 15:57:30.349,4945,SENT,2B2B2B
03-22-2019 15:57:30.395,4946,RECV,4F4B0D
03-22-2019 15:57:31.851,4947,SENT,415444420D
03-22-2019 15:57:31.904,4948,RECV,35410D
03-22-2019 15:57:33.351,4949,SENT,2B2B2B
03-22-2019 15:57:33.364,4950,RECV,4F4B0D
03-22-2019 15:57:34.852,4951,SENT,415444420D
03-22-2019 15:57:34.870,4952,RECV,35410D
03-22-2019 15:57:36.352,4953,SENT,2B2B2B
03-22-2019 15:57:36.379,4954,RECV,4F4B0D
03-22-2019 15:57:37.853,4955,SENT,415444420D
03-22-2019 15:57:37.894,4956,RECV,35410D
03-22-2019 15:57:39.352,4957,SENT,2B2B2B
03-22-2019 15:57:39.403,4958,RECV,4F4B0D
03-22-2019 15:57:40.854,4959,SENT,415444420D
03-22-2019 15:57:40.863,4960,RECV,35410D
03-22-2019 15:57:42.353,4961,SENT,2B2B2B
03-22-2019 15:57:42.371,4962,RECV,4F4B0D
03-22-2019 15:57:43.855,4963,SENT,415444420D
03-22-2019 15:57:43.880,4964,RECV,35410D
03-22-2019 15:57:45.355,4965,SENT,2B2B2B
03-22-2019 15:57:45.387,4966,RECV,4F4B0D
03-22-2019 15:57:46.856,4967,SENT,415444420D
03-22-2019 15:57:46.896,4968,RECV,35320D
03-22-2019 15:57:48.356,4969,SENT,2B2B2B
03-22-2019 15:57:48.406,4970,RECV,4F4B0D
03-22-2019 15:57:49.858,4971,SENT,415444420D
03-22-2019 15:57:49.864,4972,RECV,3532
03-22-2019 15:57:49.915,4973,RECV,0D
03-22-2019 15:57:51.358,4974,SENT,2B2B2B
03-22-2019 15:57:51.371,4975,RECV,4F4B0D
03-22-2019 15:57:52.860,4976,SENT,415444420D
03-22-2019 15:57:52.878,4977,RECV,35320D
03-22-2019 15:57:54.359,4978,SENT,2B2B2B
03-22-2019 15:57:54.386,4979,RECV,4F4B0D
03-22-2019 15:57:55.861,4980,SENT,415444420D
03-22-2019 15:57:55.895,4981,RECV,35320D
03-22-2019 15:57:57.361,4982,SENT,2B2B2B
03-22-2019 15:57:57.405,4983,RECV,4F4B0D
03-22-2019 15:57:58.862,4984,SENT,415444420D
03-22-2019 15:57:58.914,4985,RECV,35320D
03-22-2019 15:58:00.362,4986,SENT,2B2B2B
03-22-2019 15:58:00.370,4987,RECV,4F4B0D
03-22-2019 15:58:01.864,4988,SENT,415444420D
03-22-2019 15:58:01.878,4989,RECV,35320D
03-22-2019 15:58:03.364,4990,SENT,2B2B2B
03-22-2019 15:58:03.386,4991,RECV,4F4B0D
03-22-2019 15:58:04.866,4992,SENT,415444420D
03-22-2019 15:58:04.895,4993,RECV,35320D
03-22-2019 15:58:06.366,4994,SENT,2B2B2B
03-22-2019 15:58:06.404,4995,RECV,4F4B0D
03-22-2019 15:58:07.868,4996,SENT,415444420D
03-22-2019 15:58:07.914,4997,RECV,35320D
03-22-2019 15:58:09.368,4998,SENT,2B2B2B
03-22-2019 15:58:09.422,4999,RECV,4F4B0D
03-22-2019 15:58:10.869,5000,SENT,415444420D
03-22-2019 15:58:10.881,5001,RECV,35320D
03-22-2019 15:58:12.369,5002,SENT,2B2B2B
03-22-2019 15:58:12.390,5003,RECV,4F4B0D
03-22-2019 15:58:13.870,5004,SENT,415444420D
03-22-2019 15:58:13.897,5005,RECV,35320D
03-22-2019 15:58:15.371,5006,SENT,2B2B2B
03-22-2019 15:58:15.404,5007,RECV,4F4B0D
03-22-2019 15:58:16.872,5008,SENT,415444420D
03-22-2019 15:58:16.911,5009,RECV,35320D
03-22-2019 15:58:18.373,5010,SENT,2B2B2B
03-22-2019 15:58:18.418,5011,RECV,4F4B0D
03-22-2019 15:58:19.874,5012,SENT,415444420D
03-22-2019 15:58:19.926,5013,RECV,35320D
03-22-2019 15:58:21.374,5014,SENT,2B2B2B
03-22-2019 15:58:21.385,5015,RECV,4F4B0D
03-22-2019 15:58:22.877,5016,SENT,415444420D
03-22-2019 15:58:22.893,5017,RECV,35320D
03-22-2019 15:58:24.376,5018,SENT,2B2B2B
03-22-2019 15:58:24.401,5019,RECV,4F4B0D
03-22-2019 15:58:25.878,5020,SENT,415444420D
03-22-2019 15:58:25.910,5021,RECV,35320D
03-22-2019 15:58:27.378,5022,SENT,2B2B2B
03-22-2019 15:58:27.420,5023,RECV,4F4B0D
03-22-2019 15:58:28.880,5024,SENT,415444420D
03-22-2019 15:58:28.930,5025,RECV,35320D
03-22-2019 15:58:30.379,5026,SENT,2B2B2B
03-22-2019 15:58:30.385,5027,RECV,4F4B
03-22-2019 15:58:30.436,5028,RECV,0D
03-22-2019 15:58:31.881,5029,SENT,415444420D
03-22-2019 15:58:31.892,5030,RECV,35320D
03-22-2019 15:58:33.381,5031,SENT,2B2B2B
03-22-2019 15:58:33.400,5032,RECV,4F4B0D
03-22-2019 15:58:34.883,5033,SENT,415444420D
03-22-2019 15:58:34.910,5034,RECV,35320D
03-22-2019 15:58:36.382,5035,SENT,2B2B2B
03-22-2019 15:58:36.419,5036,RECV,4F4B0D
03-22-2019 15:58:37.883,5037,SENT,415444420D
03-22-2019 15:58:37.929,5038,RECV,35320D
03-22-2019 15:58:39.384,5039,SENT,2B2B2B
03-22-2019 15:58:39.437,5040,RECV,4F4B0D
03-22-2019 15:58:40.885,5041,SENT,415444420D
03-22-2019 15:58:40.895,5042,RECV,35310D
03-22-2019 15:58:42.387,5043,SENT,2B2B2B
03-22-2019 15:58:42.403,5044,RECV,4F4B0D
03-22-2019 15:58:43.887,5045,SENT,415444420D
03-22-2019 15:58:43.916,5046,RECV,35310D
03-22-2019 15:58:45.388,5047,SENT,2B2B2B
03-22-2019 15:58:45.427,5048,RECV,4F4B0D
03-22-2019 15:58:46.889,5049,SENT,415444420D
03-22-2019 15:58:46.934,5050,RECV,35310D
03-22-2019 15:58:48.389,5051,SENT,2B2B2B
03-22-2019 15:58:48.443,5052,RECV,4F4B0D
03-22-2019 15:58:49.891,5053,SENT,415444420D
03-22-2019 15:58:49.901,5054,RECV,35310D
03-22-2019 15:58:51.391,5055,SENT,2B2B2B
03-22-2019 15:58:51.459,5056,RECV,4F4B0D
03-22-2019 15:58:52.892,5057,SENT,415444420D
03-22-2019 15:58:52.967,5058,RECV,34440D
03-22-2019 15:58:54.392,5059,SENT,2B2B2B
03-22-2019 15:58:54.426,5060,RECV,4F4B0D
03-22-2019 15:58:55.893,5061,SENT,415444420D
03-22-2019 15:58:55.933,5062,RECV,35300D
03-22-2019 15:58:57.393,5063,SENT,2B2B2B
03-22-2019 15:58:57.444,5064,RECV,4F4B0D
03-22-2019 15:58:58.894,5065,SENT,415444420D
03-22-2019 15:58:58.954,5066,RECV,34440D
03-22-2019 15:59:00.395,5067,SENT,2B2B2B
03-22-2019 15:59:00.410,5068,RECV,4F4B0D
03-22-2019 15:59:01.895,5069,SENT,415444420D
03-22-2019 15:59:01.916,5070,RECV,35320D
03-22-2019 15:59:03.396,5071,SENT,2B2B2B
03-22-2019 15:59:03.421,5072,RECV,4F4B0D
03-22-2019 15:59:04.897,5073,SENT,415444420D
03-22-2019 15:59:04.932,5074,RECV,35320D
03-22-2019 15:59:06.397,5075,SENT,2B2B2B
03-22-2019 15:59:06.444,5076,RECV,4F4B0D
03-22-2019 15:59:07.898,5077,SENT,415444420D
03-22-2019 15:59:08.003,5078,RECV,34440D
03-22-2019 15:59:09.398,5079,SENT,2B2B2B
03-22-2019 15:59:09.412,5080,RECV,4F4B0D
03-22-2019 15:59:10.899,5081,SENT,415444420D
03-22-2019 15:59:10.920,5082,RECV,34440D
03-22-2019 15:59:12.399,5083,SENT,2B2B2B
03-22-2019 15:59:12.428,5084,RECV,4F4B0D
03-22-2019 15:59:13.901,5085,SENT,415444420D
03-22-2019 15:59:13.934,5086,RECV,34440D
03-22-2019 15:59:15.401,5087,SENT,2B2B2B
03-22-2019 15:59:15.445,5088,RECV,4F4B0D
03-22-2019 15:59:16.902,5089,SENT,415444420D
03-22-2019 15:59:16.954,5090,RECV,34440D
03-22-2019 15:59:18.402,5091,SENT,2B2B2B
03-22-2019 15:59:18.414,5092,RECV,4F4B0D
03-22-2019 15:59:19.904,5093,SENT,415444420D
03-22-2019 15:59:19.921,5094,RECV,34440D
03-22-2019 15:59:21.404,5095,SENT,2B2B2B
03-22-2019 15:59:21.428,5096,RECV,4F4B0D
03-22-2019 15:59:22.906,5097,SENT,415444420D
03-22-2019 15:59:22.936,5098,RECV,34430D
03-22-2019 15:59:24.406,5099,SENT,2B2B2B
03-22-2019 15:59:24.444,5100,RECV,4F4B0D
03-22-2019 15:59:25.908,5101,SENT,415444420D
03-22-2019 15:59:25.950,5102,RECV,35310D
03-22-2019 15:59:27.408,5103,SENT,2B2B2B
03-22-2019 15:59:27.457,5104,RECV,4F4B0D
03-22-2019 15:59:28.909,5105,SENT,415444420D
03-22-2019 15:59:28.967,5106,RECV,34460D
03-22-2019 15:59:30.410,5107,SENT,2B2B2B
