03-22-2019 18:16:37.836,-,AT,"Receiver,0013A20041579DF5,9XTend DigiMesh (version B),8003,COM14 - 9600/8/N/1/N,6"
03-22-2019 18:20:11.682,16609,RECV,4F4B0D
03-22-2019 18:20:13.144,16610,SENT,415444420D
03-22-2019 18:20:13.191,16611,RECV,34380D
03-22-2019 18:20:14.646,16612,SENT,2B2B2B
03-22-2019 18:20:14.697,16613,RECV,4F4B0D
03-22-2019 18:20:16.146,16614,SENT,415444420D
03-22-2019 18:20:16.154,16615,RECV,3437
03-22-2019 18:20:16.204,16616,RECV,0D
03-22-2019 18:20:17.646,16617,SENT,2B2B2B
03-22-2019 18:20:17.663,16618,RECV,4F4B0D
03-22-2019 18:20:19.147,16619,SENT,415444420D
03-22-2019 18:20:19.173,16620,RECV,34370D
03-22-2019 18:20:20.649,16621,SENT,2B2B2B
03-22-2019 18:20:20.732,16622,RECV,4F4B0D
03-22-2019 18:20:22.149,16623,SENT,415444420D
03-22-2019 18:20:22.191,16624,RECV,34370D
03-22-2019 18:20:23.650,16625,SENT,2B2B2B
03-22-2019 18:20:23.698,16626,RECV,4F4B0D
03-22-2019 18:20:25.151,16627,SENT,415444420D
03-22-2019 18:20:25.207,16628,RECV,34370D
03-22-2019 18:20:26.653,16629,SENT,2B2B2B
03-22-2019 18:20:26.714,16630,RECV,4F4B0D
03-22-2019 18:20:28.154,16631,SENT,415444420D
03-22-2019 18:20:28.174,16632,RECV,34370D
03-22-2019 18:20:29.655,16633,SENT,2B2B2B
03-22-2019 18:20:29.679,16634,RECV,4F4B0D
03-22-2019 18:20:31.156,16635,SENT,415444420D
03-22-2019 18:20:31.190,16636,RECV,34370D
03-22-2019 18:20:32.657,16637,SENT,2B2B2B
03-22-2019 18:20:32.698,16638,RECV,4F4B0D
03-22-2019 18:20:34.158,16639,SENT,415444420D
03-22-2019 18:20:34.206,16640,RECV,34370D
03-22-2019 18:20:35.659,16641,SENT,2B2B2B
03-22-2019 18:20:35.713,16642,RECV,4F4B0D
03-22-2019 18:20:37.159,16643,SENT,415444420D
03-22-2019 18:20:37.220,16644,RECV,3437
03-22-2019 18:20:37.381,16645,RECV,0D
03-22-2019 18:20:38.661,16646,SENT,2B2B2B
03-22-2019 18:20:38.679,16647,RECV,4F4B0D
03-22-2019 18:20:40.162,16648,SENT,415444420D
03-22-2019 18:20:40.188,16649,RECV,34370D
03-22-2019 18:20:41.663,16650,SENT,2B2B2B
03-22-2019 18:20:41.697,16651,RECV,4F4B0D
03-22-2019 18:20:43.163,16652,SENT,415444420D
03-22-2019 18:20:43.206,16653,RECV,34370D
03-22-2019 18:20:44.664,16654,SENT,2B2B2B
03-22-2019 18:20:44.714,16655,RECV,4F4B0D
03-22-2019 18:20:46.165,16656,SENT,415444420D
03-22-2019 18:20:46.173,16657,RECV,3438
03-22-2019 18:20:46.224,16658,RECV,0D
03-22-2019 18:20:47.665,16659,SENT,2B2B2B
03-22-2019 18:20:47.683,16660,RECV,4F4B0D
03-22-2019 18:20:49.166,16661,SENT,415444420D
03-22-2019 18:20:49.193,16662,RECV,34380D
03-22-2019 18:20:50.667,16663,SENT,2B2B2B
03-22-2019 18:20:50.704,16664,RECV,4F4B0D
03-22-2019 18:20:52.168,16665,SENT,415444420D
03-22-2019 18:20:52.209,16666,RECV,34380D
03-22-2019 18:20:53.670,16667,SENT,2B2B2B
03-22-2019 18:20:53.721,16668,RECV,4F4B0D
03-22-2019 18:20:55.171,16669,SENT,415444420D
03-22-2019 18:20:55.227,16670,RECV,34380D
03-22-2019 18:20:56.672,16671,SENT,2B2B2B
03-22-2019 18:20:56.687,16672,RECV,4F4B0D
03-22-2019 18:20:58.173,16673,SENT,415444420D
03-22-2019 18:20:58.193,16674,RECV,34380D
03-22-2019 18:20:59.674,16675,SENT,2B2B2B
03-22-2019 18:20:59.699,16676,RECV,4F4B0D
03-22-2019 18:21:01.175,16677,SENT,415444420D
03-22-2019 18:21:01.207,16678,RECV,34380D
03-22-2019 18:21:02.677,16679,SENT,2B2B2B
03-22-2019 18:21:02.714,16680,RECV,4F4B0D
03-22-2019 18:21:04.177,16681,SENT,415444420D
03-22-2019 18:21:04.223,16682,RECV,34380D
03-22-2019 18:21:05.679,16683,SENT,2B2B2B
03-22-2019 18:21:05.731,16684,RECV,4F4B0D
03-22-2019 18:21:07.179,16685,SENT,415444420D
03-22-2019 18:21:07.188,16686,RECV,34380D
03-22-2019 18:21:08.680,16687,SENT,2B2B2B
03-22-2019 18:21:08.696,16688,RECV,4F4B0D
03-22-2019 18:21:10.181,16689,SENT,415444420D
03-22-2019 18:21:10.205,16690,RECV,34380D
03-22-2019 18:21:11.682,16691,SENT,2B2B2B
03-22-2019 18:21:11.714,16692,RECV,4F4B0D
03-22-2019 18:21:13.184,16693,SENT,415444420D
03-22-2019 18:21:13.222,16694,RECV,34380D
03-22-2019 18:21:14.685,16695,SENT,2B2B2B
03-22-2019 18:21:14.730,16696,RECV,4F4B0D
03-22-2019 18:21:16.186,16697,SENT,415444420D
03-22-2019 18:21:16.238,16698,RECV,34450D
03-22-2019 18:21:17.687,16699,SENT,2B2B2B
03-22-2019 18:21:17.745,16700,RECV,4F4B0D
03-22-2019 18:21:19.189,16701,SENT,415444420D
03-22-2019 18:21:19.255,16702,RECV,34460D
03-22-2019 18:21:20.689,16703,SENT,2B2B2B
03-22-2019 18:21:20.713,16704,RECV,4F4B0D
03-22-2019 18:21:22.191,16705,SENT,415444420D
03-22-2019 18:21:22.222,16706,RECV,34450D
03-22-2019 18:21:23.692,16707,SENT,2B2B2B
03-22-2019 18:21:23.730,16708,RECV,4F4B0D
03-22-2019 18:21:25.193,16709,SENT,415444420D
03-22-2019 18:21:25.239,16710,RECV,34460D
03-22-2019 18:21:26.694,16711,SENT,2B2B2B
03-22-2019 18:21:26.746,16712,RECV,4F4B0D
03-22-2019 18:21:28.195,16713,SENT,415444420D
03-22-2019 18:21:28.255,16714,RECV,34460D
03-22-2019 18:21:29.697,16715,SENT,2B2B2B
03-22-2019 18:21:29.762,16716,RECV,4F4B0D
03-22-2019 18:21:31.197,16717,SENT,415444420D
03-22-2019 18:21:31.271,16718,RECV,34450D
03-22-2019 18:21:32.699,16719,SENT,2B2B2B
03-22-2019 18:21:32.728,16720,RECV,4F4B0D
03-22-2019 18:21:34.200,16721,SENT,415444420D
03-22-2019 18:21:34.238,16722,RECV,34450D
03-22-2019 18:21:35.701,16723,SENT,2B2B2B
03-22-2019 18:21:35.743,16724,RECV,4F4B0D
03-22-2019 18:21:37.202,16725,SENT,415444420D
03-22-2019 18:21:37.255,16726,RECV,34450D
03-22-2019 18:21:38.703,16727,SENT,2B2B2B
03-22-2019 18:21:38.713,16728,RECV,4F4B0D
03-22-2019 18:21:40.204,16729,SENT,415444420D
03-22-2019 18:21:40.224,16730,RECV,34460D
03-22-2019 18:21:41.705,16731,SENT,2B2B2B
03-22-2019 18:21:41.731,16732,RECV,4F4B0D
03-22-2019 18:21:43.207,16733,SENT,415444420D
03-22-2019 18:21:43.240,16734,RECV,34460D
03-22-2019 18:21:44.707,16735,SENT,2B2B2B
03-22-2019 18:21:44.746,16736,RECV,4F4B0D
03-22-2019 18:21:46.209,16737,SENT,415444420D
03-22-2019 18:21:46.256,16738,RECV,34450D
03-22-2019 18:21:47.708,16739,SENT,2B2B2B
03-22-2019 18:21:47.767,16740,RECV,4F4B0D
03-22-2019 18:21:49.211,16741,SENT,415444420D
03-22-2019 18:21:49.225,16742,RECV,34450D
03-22-2019 18:21:50.712,16743,SENT,2B2B2B
03-22-2019 18:21:50.780,16744,RECV,4F4B0D
03-22-2019 18:21:52.212,16745,SENT,415444420D
03-22-2019 18:21:52.239,16746,RECV,34450D
03-22-2019 18:21:53.713,16747,SENT,2B2B2B
03-22-2019 18:21:53.746,16748,RECV,4F4B0D
03-22-2019 18:21:55.214,16749,SENT,415444420D
03-22-2019 18:21:55.255,16750,RECV,34450D
03-22-2019 18:21:56.715,16751,SENT,2B2B2B
03-22-2019 18:21:56.759,16752,RECV,4F4B0D
03-22-2019 18:21:58.217,16753,SENT,415444420D
03-22-2019 18:21:58.271,16754,RECV,34450D
03-22-2019 18:21:59.717,16755,SENT,2B2B2B
03-22-2019 18:21:59.780,16756,RECV,4F4B0D
03-22-2019 18:22:01.219,16757,SENT,415444420D
03-22-2019 18:22:01.289,16758,RECV,34460D
03-22-2019 18:22:02.719,16759,SENT,2B2B2B
03-22-2019 18:22:02.746,16760,RECV,4F4B0D
03-22-2019 18:22:04.221,16761,SENT,415444420D
03-22-2019 18:22:04.255,16762,RECV,34450D
03-22-2019 18:22:05.722,16763,SENT,2B2B2B
03-22-2019 18:22:05.762,16764,RECV,4F4B0D
03-22-2019 18:22:07.223,16765,SENT,415444420D
03-22-2019 18:22:07.271,16766,RECV,34460D
03-22-2019 18:22:08.724,16767,SENT,2B2B2B
03-22-2019 18:22:08.779,16768,RECV,4F4B0D
03-22-2019 18:22:10.225,16769,SENT,415444420D
03-22-2019 18:22:10.237,16770,RECV,34460D
03-22-2019 18:22:11.725,16771,SENT,2B2B2B
03-22-2019 18:22:11.744,16772,RECV,4F4B0D
03-22-2019 18:22:13.227,16773,SENT,415444420D
03-22-2019 18:22:13.255,16774,RECV,34460D
03-22-2019 18:22:14.727,16775,SENT,2B2B2B
03-22-2019 18:22:14.760,16776,RECV,4F4B0D
03-22-2019 18:22:16.229,16777,SENT,415444420D
03-22-2019 18:22:16.272,16778,RECV,34460D
03-22-2019 18:22:17.729,16779,SENT,2B2B2B
03-22-2019 18:22:17.780,16780,RECV,4F4B0D
03-22-2019 18:22:19.229,16781,SENT,415444420D
03-22-2019 18:22:19.239,16782,RECV,34460D
03-22-2019 18:22:20.731,16783,SENT,2B2B2B
03-22-2019 18:22:20.744,16784,RECV,4F4B0D
03-22-2019 18:22:22.232,16785,SENT,415444420D
03-22-2019 18:22:22.255,16786,RECV,34460D
03-22-2019 18:22:23.733,16787,SENT,2B2B2B
03-22-2019 18:22:23.761,16788,RECV,4F4B0D
03-22-2019 18:22:25.233,16789,SENT,415444420D
03-22-2019 18:22:25.271,16790,RECV,34460D
03-22-2019 18:22:26.735,16791,SENT,2B2B2B
03-22-2019 18:22:26.779,16792,RECV,4F4B0D
03-22-2019 18:22:28.235,16793,SENT,415444420D
03-22-2019 18:22:28.289,16794,RECV,34460D
03-22-2019 18:22:29.736,16795,SENT,2B2B2B
03-22-2019 18:22:29.745,16796,RECV,4F4B0D
03-22-2019 18:22:31.236,16797,SENT,415444420D
03-22-2019 18:22:31.254,16798,RECV,34460D
03-22-2019 18:22:32.737,16799,SENT,2B2B2B
